,distance,moving_time,start_date_local,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
180,2357.4,436,2023-05-08T13:30:35Z,123.7,122.0,314.0,0.0,0.0,0.0,
181,3116.7,526,2023-05-08T10:32:37Z,82.7,517.0,9.0,0.0,0.0,0.0,
182,21549.6,3336,2023-05-08T06:20:44Z,134.2,662.0,2026.0,533.0,115.0,0.0,
183,21916.1,3566,2023-05-07T11:25:26Z,127.5,794.0,2722.0,50.0,0.0,0.0,
185,2891.6,539,2023-05-06T18:18:24Z,122.7,117.0,422.0,0.0,0.0,0.0,
187,3321.7,674,2023-05-06T16:01:56Z,119.0,201.0,473.0,0.0,0.0,0.0,
188,1787.7,313,2023-05-05T23:01:35Z,121.9,77.0,236.0,0.0,0.0,0.0,
189,1691.4,288,2023-05-05T14:14:47Z,130.7,30.0,258.0,0.0,0.0,0.0,
190,34015.1,4543,2023-05-05T10:11:14Z,140.9,54.0,4133.0,356.0,0.0,0.0,
191,1788.8,282,2023-05-04T23:04:31Z,103.1,210.0,72.0,0.0,0.0,0.0,
192,1699.5,264,2023-05-04T18:42:45Z,142.3,21.0,161.0,82.0,0.0,0.0,
193,2753.9,520,2023-05-04T16:58:37Z,120.6,176.0,344.0,0.0,0.0,0.0,
194,2668.6,506,2023-05-04T08:20:30Z,113.4,214.0,292.0,0.0,0.0,0.0,
195,35529.7,5090,2023-05-03T15:30:12Z,158.3,20.0,2047.0,1708.0,1215.0,100.0,
200,25348.0,3450,2023-05-01T16:38:34Z,154.3,31.0,1345.0,1926.0,148.0,0.0,
209,25634.9,3395,2023-04-26T06:01:23Z,152.9,59.0,1769.0,666.0,901.0,0.0,
216,29145.7,4103,2023-04-22T08:04:33Z,141.6,126.0,3322.0,655.0,0.0,0.0,
219,38121.9,5147,2023-04-19T05:51:14Z,151.3,64.0,2737.0,1841.0,505.0,0.0,
222,24246.1,4324,2023-04-17T06:19:15Z,123.5,1106.0,3125.0,93.0,0.0,0.0,
223,60438.1,7808,2023-04-16T06:48:23Z,158.4,46.0,3021.0,2661.0,2080.0,0.0,
303,0.0,592,2021-11-13T07:22:37Z,80.0,577.0,15.0,0.0,0.0,0.0,
315,0.0,1186,2021-10-23T08:53:48Z,141.5,15.0,905.0,266.0,0.0,0.0,
324,0.0,1223,2021-10-07T07:14:35Z,140.3,0.0,1139.0,84.0,0.0,0.0,
351,24734.3,3354,2021-07-10T08:33:26Z,47.7,3354.0,0.0,0.0,0.0,0.0,107.44975
352,18104.8,3056,2021-07-08T07:12:09Z,44.7,3056.0,0.0,0.0,0.0,0.0,99.31062499999999
359,25474.2,4328,2021-06-10T07:08:45Z,97.7,2952.0,1376.0,0.0,0.0,0.0,111.34633333333332
367,9177.3,2100,2021-05-04T19:04:14Z,78.8,1626.0,474.0,0.0,0.0,0.0,52.51406473108043
369,12935.3,1800,2021-04-23T19:53:59Z,117.2,834.0,227.0,54.0,685.0,0.0,167.0005
370,9386.2,1801,2021-04-21T19:23:36Z,106.3,823.0,595.0,123.0,260.0,0.0,96.05227524972251
371,9999.3,1801,2021-04-20T19:08:08Z,106.0,761.0,524.0,516.0,0.0,0.0,87.19020833333333
372,8854.7,1800,2021-04-16T18:01:43Z,147.0,167.0,776.0,770.0,87.0,0.0,122.47558333333332
373,13286.8,1860,2021-04-15T18:01:01Z,155.0,225.0,421.0,572.0,642.0,0.0,162.63129166666667
374,7624.5,2101,2021-04-13T18:09:32Z,154.2,130.0,495.0,1258.0,218.0,0.0,130.760375
375,13292.8,1800,2021-04-12T17:03:47Z,156.1,205.0,392.0,288.0,915.0,0.0,181.590125
376,13691.8,1998,2021-04-10T18:02:08Z,153.8,248.0,425.0,601.0,724.0,0.0,157.20283333333333
377,16766.4,2400,2021-04-09T18:18:58Z,153.1,188.0,669.0,1204.0,339.0,0.0,150.01925
378,14050.6,2100,2021-04-08T18:29:34Z,154.4,32.0,977.0,464.0,627.0,0.0,142.545125
379,10820.0,2166,2021-04-06T18:00:09Z,143.7,289.0,1030.0,543.0,304.0,0.0,108.86445833333333
380,14575.9,1801,2021-04-05T19:22:28Z,160.3,78.0,241.0,922.0,560.0,0.0,172.60470833333332
381,12295.3,2311,2021-04-03T17:42:45Z,146.3,169.0,1250.0,591.0,301.0,0.0,95.70695833333333
382,11463.0,2352,2021-04-01T17:14:37Z,131.1,1128.0,420.0,504.0,300.0,0.0,60.13100297492563
384,10960.7,1680,2021-03-29T18:47:31Z,153.1,262.0,237.0,700.0,481.0,0.0,130.2133333333333
385,14189.1,1950,2021-03-26T09:46:34Z,151.1,217.0,524.0,815.0,394.0,0.0,151.11649999999997
386,8177.1,1800,2021-03-25T09:34:39Z,140.4,240.0,948.0,612.0,0.0,0.0,105.71758333333332
388,11686.8,2273,2021-03-22T08:30:41Z,133.4,638.0,896.0,597.0,142.0,0.0,76.71813984168865
389,7634.4,2100,2021-03-20T17:53:14Z,126.6,794.0,1061.0,239.0,6.0,0.0,103.28399999999999
397,47618.6,5348,2021-02-26T06:49:13Z,148.1,198.0,2512.0,2591.0,47.0,0.0,111.34474999999999
398,20016.9,2896,2021-02-24T07:10:47Z,122.7,951.0,1862.0,83.0,0.0,0.0,83.80108333333334
400,36763.3,5455,2021-02-22T07:16:17Z,142.0,267.0,3837.0,497.0,854.0,0.0,106.69687499999999
401,47602.0,5637,2021-02-19T06:39:27Z,142.6,130.0,4657.0,850.0,0.0,0.0,113.6675
404,22918.7,4018,2021-02-15T07:22:24Z,121.5,1424.0,2500.0,50.0,44.0,0.0,73.82529166666666
405,50564.3,8420,2021-02-13T07:21:39Z,135.8,798.0,6435.0,668.0,519.0,0.0,107.04362499999999
406,58201.3,6650,2021-02-12T07:13:52Z,149.0,27.0,4355.0,2237.0,31.0,0.0,110.506375
407,34547.9,4967,2021-02-10T06:47:55Z,150.8,97.0,3250.0,764.0,856.0,0.0,131.34383333333332
408,47614.1,5820,2021-02-08T07:00:51Z,150.3,100.0,3169.0,2551.0,0.0,0.0,132.3864583333333
410,47622.2,6561,2021-02-03T06:37:15Z,140.3,179.0,5465.0,747.0,169.0,1.0,102.93408333333333
412,47990.3,5616,2021-02-01T07:04:32Z,157.9,117.0,880.0,4362.0,257.0,0.0,135.054375
413,41056.5,6205,2021-01-28T06:27:42Z,141.7,151.0,4784.0,434.0,836.0,0.0,86.07633333333334
415,18019.0,2736,2021-01-25T07:08:17Z,141.1,185.0,1913.0,523.0,115.0,0.0,121.75358333333332
417,17815.7,2983,2021-01-18T07:23:02Z,122.9,818.0,2016.0,92.0,57.0,0.0,85.37491666666666
421,18329.9,2079,2021-01-06T06:41:51Z,136.4,141.0,1897.0,41.0,0.0,0.0,116.08841666666666
422,26457.3,4483,2021-01-01T07:28:20Z,125.7,664.0,3732.0,87.0,0.0,0.0,104.01154166666666
